What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,What operating system do you use the most?,Which of our sites do you frequent most?
France,20-24,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,30-34,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Germany,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,Python,Ruby,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Other
United States of America,30-34,Other,Mobile,Java,N/A,N/A,PHP,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Windows XP,Programmers Stack Exchange
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,IT Staff / System Administrator,Enterprise,Java,JavaScript,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Germany,25-29,Desktop Application Developer,Mobile,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Objective-C 2.0,Mac OS X,Stack Overflow
Germany,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Asia,20-24,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Russia,25-29,Manager of Developers or Team Leader,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
South America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Middle East,20-24,Server Programmer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,35-39,Other,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Objective-C,Mac OS X,Stack Overflow
Australia,35-39,Student,Other,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Linux,Stack Overflow
United Kingdom,< 20,Student,Other,N/A,N/A,CSS,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Australia,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Netherlands,30-34,Manager of Developers or Team Leader,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
Africa,30-34,Server Programmer,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,40-50,Manager of Developers or Team Leader,Other,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,VBA,Windows XP,Stack Overflow
Other Europe,25-29,Embedded Application Developer,Mobile,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Middle East,20-24,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,"VB.NET, WPF, Silverlight, Entity-Framework",Windows 7,Stack Overflow
United States of America,40-50,Manager of Developers or Team Leader,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
India,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,< 20,Other,Web Platform,N/A,JavaScript,CSS,PHP,N/A,Ruby,N/A,C#,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Programmers Stack Exchange
United States of America,20-24,Web Application Developer,Mobile,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Windows Vista,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Manager of Developers or Team Leader,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Linux,Super User
United Kingdom,35-39,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Embedded Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,Perl,N/A,Ada,Windows XP,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,ASP Classic,Windows XP,Stack Overflow
United States of America,25-29,IT Staff / System Administrator,Web Platform,N/A,N/A,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Mac OS X,Other
Canada,35-39,Web Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
France,30-34,Server Programmer,Enterprise,N/A,JavaScript,CSS,N/A,Python,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Linux,N/A
United States of America,35-39,Server Programmer,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,C,Perl,N/A,N/A,Mac OS X,Other
Other Europe,25-29,Embedded Application Developer,Mobile,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,Web Application Developer,SaaS,Java,JavaScript,CSS,PHP,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Canada,40-50,Server Programmer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Australia,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,actionscript,Mac OS X,Stack Overflow
United States of America,25-29,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,Perl,N/A,N/A,Linux,Stack Overflow
United States of America,51-60,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Student,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,Mathematica,Mac OS X,Stack Overflow
Germany,25-29,Embedded Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,Objective-C,Mac OS X,Stack Overflow
United States of America,30-34,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,20-24,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,C++,N/A,N/A,N/A,vb.net,Windows 7,Stack Overflow
United States of America,25-29,Desktop Application Developer,Other,Java,N/A,N/A,N/A,Python,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Germany,25-29,Embedded Application Developer,Mobile,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
Africa,25-29,Other,Mobile,Java,JavaScript,CSS,PHP,Python,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,CFML,Linux,Stack Overflow
Netherlands,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,coldfusion,Windows XP,Stack Overflow
France,25-29,Web Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,40-50,Server Programmer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,20-24,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
Middle East,25-29,Kernel / Driver Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,Linux,Stack Overflow
Other Europe,30-34,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,R; VBA,Windows 7,Super User
Other Europe,25-29,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,Object Pascal,Windows 7,N/A
Africa,20-24,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,"VB.NET, VB6, VBA",Windows 7,Stack Overflow
United Kingdom,30-34,Server Programmer,SaaS,N/A,N/A,N/A,N/A,N/A,Ruby,SQL,C#,N/A,N/A,Perl,N/A,N/A,Windows 7,Stack Overflow
Africa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,35-39,Systems Analyst,Enterprise,N/A,N/A,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Super User
United Kingdom,20-24,Student,Mobile,Java,N/A,N/A,PHP,Python,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Mac OS X,Other
Germany,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,Python,N/A,N/A,N/A,N/A,N/A,Perl,N/A,N/A,Linux,Stack Overflow
United Kingdom,30-34,Other,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Australia,20-24,Student,Other,Java,N/A,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Africa,25-29,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Netherlands,20-24,Web Application Developer,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,Student,Web Platform,Java,N/A,N/A,PHP,Python,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Embedded Application Developer,Mobile,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Windows 7,Meta Stack Overflow
United States of America,35-39,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,VB.NET,Mac OS X,Stack Overflow
United States of America,25-29,Systems Analyst,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,Web Application Developer,SaaS,N/A,N/A,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,C,Perl,N/A,N/A,Mac OS X,Stack Overflow
Russia,30-34,Server Programmer,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,Perl,N/A,Maple bash,Linux,Stack Overflow
United States of America,35-39,Systems Analyst,SaaS,N/A,JavaScript,N/A,PHP,N/A,N/A,SQL,N/A,N/A,C,Perl,N/A,N/A,Linux,Stack Overflow
United States of America,20-24,Other,Other,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Windows 7,N/A
Italy,20-24,Student,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
Canada,20-24,Web Application Developer,Enterprise,Java,JavaScript,N/A,PHP,N/A,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,Linux,Other
Other Asia,25-29,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,30-34,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Desktop Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Student,Other,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,None
United Kingdom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,20-24,Student,Other,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Middle East,35-39,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
Africa,30-34,IT Staff / System Administrator,SaaS,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Server Fault
Italy,35-39,Manager of Developers or Team Leader,Other,Java,JavaScript,N/A,N/A,Python,N/A,N/A,N/A,C++,C,Perl,N/A,N/A,Linux,Stack Overflow
Other Europe,25-29,Server Programmer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Windows Vista,Stack Overflow
Other Europe,35-39,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Visual Dataflex,Windows 7,Stack Overflow
United States of America,20-24,Student,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
South America,25-29,IT Manager,SaaS,Java,JavaScript,N/A,PHP,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,25-29,IT Staff / System Administrator,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Server Fault
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,N/A,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,40-50,Desktop Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,< 20,Student,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,Windows Vista,Programmers Stack Exchange
United States of America,40-50,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Windows XP,Programmers Stack Exchange
Other Europe,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,Server Programmer,Web Platform,Java,N/A,N/A,PHP,Python,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,< 20,Student,Other,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,XSLT,Windows XP,Stack Overflow
Other Europe,25-29,Desktop Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"If CSS is a language, surely so is HTML?",Mac OS X,Stack Overflow
Canada,35-39,Server Programmer,Enterprise,Java,JavaScript,CSS,N/A,N/A,Ruby,SQL,N/A,C++,C,Perl,N/A,N/A,Windows 7,Other
United States of America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Embedded Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Australasia,30-34,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,35-39,Systems Analyst,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,Perl,N/A,N/A,Windows XP,Super User
United States of America,20-24,Student,Other,Java,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
North America (Other),35-39,Embedded Application Developer,Mobile,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,N/A,N/A,CSS,PHP,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,jQuery,Windows XP,Stack Overflow
United States of America,30-34,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
South America,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Germany,20-24,Student,Other,N/A,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,C,N/A,N/A,ActionScript,Windows 7,Stack Overflow
United Kingdom,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
