What Country or Region do you live in?,How old are you?,Unnamed: 2,Which of the following languages or technologies have you used significantly in the past year?,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Which technologies are you excited about?,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Which desktop operating system do you use the most?
Other Europe,25-29,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,angularjs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,20-24,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,Linux
United States of America,20-24,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,Node.js,N/A,PHP,Python,Ruby,N/A,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,Mac OS X
United States of America,51-60,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fortran,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Other Europe,35-39,N/A,C,C++,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
Middle East,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canada,< 20,Other,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,Objective-C,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Other Europe,20-24,N/A,N/A,C++,N/A,N/A,JavaScript,jQuery,N/A,N/A,Objective-C,N/A,Python,N/A,N/A,N/A,N/A,Haskell,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Mac OS X
Other Europe,< 20,Other,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,N/A,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,30-34,Other,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Germany,35-39,Other,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,PHP,N/A,N/A,SQL,Haxe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,25-29,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,Objective-C,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP
Middle East,35-39,N/A,C,C++,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Other Europe,20-24,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,Node.js,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Windows 7
Middle East,< 20,N/A,C,N/A,C#,Java,JavaScript,jQuery,N/A,N/A,Objective-C,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WinRT,N/A,N/A,N/A,N/A,Mac OS X
Other Europe,< 20,N/A,C,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,30-34,N/A,N/A,N/A,C#,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,CoffeeScript,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,PhoneGap,Windows 7
Africa,40-50,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,Python,N/A,SQL,PL/SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Windows 7
United States of America,25-29,Other,C,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,N/A,R,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Mac OS X
Russia,20-24,N/A,C,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
United Kingdom,35-39,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,20-24,N/A,C,N/A,C#,N/A,JavaScript,jQuery,N/A,Node.js,N/A,PHP,Python,N/A,SQL,N/A,N/A,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Russia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,20-24,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,TypeScript,N/A,WinRT,N/A,N/A,N/A,N/A,Windows 8
United States of America,40-50,N/A,N/A,C++,C#,Java,JavaScript,jQuery,N/A,Node.js,Objective-C,N/A,Python,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Mac OS X
Middle East,20-24,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TypeScript,N/A,WinRT,N/A,N/A,N/A,N/A,Windows 8
India,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Asia,20-24,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,Redis,MongoDB,N/A,N/A,Mac OS X
United Kingdom,51-60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,25-29,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP
Canada,25-29,N/A,N/A,N/A,C#,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows 7
Other Europe,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
Netherlands,< 20,N/A,N/A,N/A,N/A,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Netherlands,40-50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Italy,< 20,N/A,C,C++,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Linux
United Kingdom,35-39,N/A,C,C++,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
India,20-24,N/A,C,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Linux
South America,35-39,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Other Europe,20-24,N/A,N/A,N/A,N/A,Java,N/A,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PhoneGap,Linux
United States of America,35-39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Python,N/A,SQL,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Other Europe,30-34,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Windows 7
South America,40-50,N/A,N/A,N/A,N/A,N/A,N/A,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
Netherlands,20-24,N/A,C,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,PHP,Python,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,30-34,N/A,N/A,N/A,N/A,Java,N/A,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Scala,N/A,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Mac OS X
Other Europe,25-29,Other,C,N/A,N/A,N/A,N/A,N/A,N/A,Node.js,Objective-C,N/A,N/A,Ruby,N/A,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
Russia,25-29,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,C++11,N/A,N/A,N/A,N/A,N/A,Windows 7
United States of America,25-29,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Mac OS X
Other Europe,20-24,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
India,20-24,Other,C,C++,C#,Java,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Windows 7
United States of America,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South America,30-34,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,Objective-C,PHP,N/A,N/A,N/A,Action Script,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
India,20-24,N/A,N/A,N/A,N/A,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Windows 7
United States of America,40-50,N/A,C,C++,N/A,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,Python,N/A,SQL,mathematica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
India,20-24,N/A,N/A,N/A,N/A,Java,JavaScript,jQuery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mongo DB,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,PhoneGap,Windows 8
Other Asia,30-34,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,N/A,Objective-C,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United States of America,20-24,N/A,N/A,N/A,C#,N/A,JavaScript,jQuery,N/A,Node.js,N/A,N/A,N/A,N/A,SQL,N/A,Node.js,N/A,N/A,N/A,TypeScript,N/A,N/A,N/A,MongoDB,N/A,PhoneGap,Mac OS X
India,20-24,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X
United Kingdom,< 20,N/A,N/A,C++,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,Dart,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Middle East,30-34,N/A,N/A,N/A,C#,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Other Asia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,51-60,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,VB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7
Australasia,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,< 20,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,Node.js,N/A,PHP,Python,Ruby,N/A,N/A,Node.js,N/A,N/A,Dart,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Linux
Other Europe,20-24,N/A,N/A,N/A,N/A,Java,N/A,N/A,N/A,N/A,N/A,PHP,Python,Ruby,N/A,N/A,N/A,Haskell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux
United States of America,30-34,N/A,N/A,N/A,N/A,N/A,JavaScript,jQuery,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,Node.js,N/A,CoffeeScript,N/A,N/A,N/A,N/A,N/A,MongoDB,N/A,N/A,Mac OS X
Other Europe,20-24,N/A,N/A,N/A,C#,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WinRT,N/A,N/A,F#,N/A,Windows 7
