What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Which desktop operating system do you use the most?,Which of our sites do you frequent most?
Australia,< 20,Student,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,mIRC Scripting Language,Windows 7,Stack Overflow
Netherlands,20-24,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,IT Staff / System Administrator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Middle East,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
North America (Other),20-24,Other,Other,N/A,N/A,CSS,PHP,N/A,N/A,Ruby,N/A,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,30-34,Server Programmer,Enterprise,Java,N/A,N/A,N/A,Python,N/A,Ruby,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Server Fault
Germany,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Germany,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,Objective-C,N/A,SQL,N/A,C++,C,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
India,20-24,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,40-50,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Germany,25-29,Student,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
Germany,30-34,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,ASCET,Windows XP,Programmers Stack Exchange
India,20-24,Desktop Application Developer,Mobile,Java,JavaScript,CSS,N/A,N/A,Objective-C,N/A,SQL,N/A,C++,C,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Canada,25-29,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,30-34,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Middle East,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
Other Europe,25-29,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Russia,25-29,Manager of Developers or Team Leader,SaaS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Asia,25-29,I don't work in tech,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,HTML5,N/A,N/A,Windows Vista,Stack Overflow
Other Europe,35-39,Other,Web Platform,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,HTML5,N/A,clojure,Windows 7,Stack Overflow
Africa,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
France,20-24,Student,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,Objective-C,N/A,SQL,C#,C++,C,N/A,HTML5,N/A,N/A,Mac OS X,Other Stack Exchange (please specify)
India,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,< 20,IT Staff / System Administrator,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,N/A
Netherlands,25-29,"Executive (VP of Eng, CTO, CIO, etc.)",Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Brainfuck,Windows 7,Stack Overflow
Other Asia,25-29,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,N/A,Linux,None
United Kingdom,20-24,Embedded Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,30-34,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,vb6,Windows 7,Stack Overflow
Italy,30-34,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Web Application Developer,SaaS,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
India,25-29,Student,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Embedded Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Other Stack Exchange (please specify)
Other Europe,20-24,Web Application Developer,Enterprise,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Other,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Perl,N/A,N/A,N/A,Windows 7,N/A
India,20-24,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Linux,N/A
Netherlands,30-34,Server Programmer,Web Platform,N/A,N/A,N/A,N/A,Python,Objective-C,N/A,SQL,C#,C++,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
India,25-29,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Groovy,Linux,Stack Overflow
France,25-29,Desktop Application Developer,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,VB.NET,Windows 7,Stack Overflow
United States of America,40-50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
India,20-24,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,N/A
India,20-24,Web Application Developer,Mobile,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,N/A
France,30-34,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,25-29,Manager of Developers or Team Leader,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,SQL,N/A,N/A,C,Perl,N/A,N/A,N/A,Linux,Programmers Stack Exchange
India,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
Germany,20-24,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,25-29,Server Programmer,Enterprise,Java,JavaScript,CSS,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Middle East,20-24,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
India,20-24,Other,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,VB.NET,Linux,None
Other Europe,30-34,IT Staff / System Administrator,Web Platform,N/A,JavaScript,N/A,N/A,Python,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
India,25-29,Systems Analyst,SaaS,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
India,25-29,Other,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,< 20,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Delphi,Windows 7,Stack Overflow
Other Europe,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Desktop Application Developer,Mobile,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Russia,25-29,Embedded Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,< 20,IT Staff / System Administrator,Web Platform,N/A,N/A,CSS,PHP,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Africa,25-29,Web Application Developer,SaaS,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
Other Europe,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,30-34,Manager of Developers or Team Leader,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,Web Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,30-34,Desktop Application Developer,Mobile,N/A,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
India,20-24,Other,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Asia,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,N/A
India,25-29,Web Application Developer,Web Platform,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,25-29,Manager of Developers or Team Leader,Mobile,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,C++,C,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
India,25-29,Server Programmer,Web Platform,N/A,N/A,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
Australasia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,20-24,Other,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Canada,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,20-24,Server Programmer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,20-24,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,Ruby,SQL,C#,C++,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Asia,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,C++,C,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
India,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
India,20-24,Web Application Developer,Web Platform,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
India,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Australia,40-50,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,Python,Objective-C,N/A,SQL,C#,C++,C,Perl,N/A,N/A,Asp.net,Windows 7,N/A
India,20-24,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,Python,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,jquery,Linux,Stack Overflow
Other Asia,25-29,Server Programmer,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,R,Linux,N/A
Other Asia,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,None
India,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,"Executive (VP of Eng, CTO, CIO, etc.)",Other,Java,N/A,N/A,N/A,Python,Objective-C,N/A,N/A,C#,C++,C,N/A,N/A,N/A,"Clojure, Matlab",Mac OS X,Stack Overflow
United Kingdom,< 20,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
Australia,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Asia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Australia,< 20,Student,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,C#,N/A,C,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Russia,20-24,Web Application Developer,Web Platform,Java,N/A,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Canada,30-34,Systems Analyst,Enterprise,Java,N/A,N/A,PHP,Python,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Web Application Developer,Mobile,N/A,JavaScript,CSS,PHP,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,N/A
Australia,25-29,Server Programmer,Enterprise,Java,N/A,N/A,PHP,Python,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Australia,20-24,Embedded Application Developer,Mobile,N/A,N/A,N/A,N/A,Python,Objective-C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
South America,25-29,Web Application Developer,Mobile,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Canada,25-29,Other,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
Other Europe,20-24,Student,None / Unemployed,N/A,JavaScript,CSS,PHP,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Other Stack Exchange (please specify)
United States of America,30-34,Web Application Developer,Enterprise,N/A,N/A,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Asia,25-29,IT Manager,Mobile,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,20-24,Other,Mobile,Java,JavaScript,CSS,PHP,Python,Objective-C,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,BASIC,Mac OS X,Stack Overflow
United States of America,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,XSL,Windows 7,Stack Overflow
Other Europe,20-24,Database Administrator,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
