UserId,c#,java,javascript
317,62.96,100.0,100.0
319,,,100.0
320,31.08,,26.32
326,0.0,0.0,22.22
332,12.5,0.0,14.29
337,23.94,,25.0
338,30.0,25.0,30.77
340,,20.0,88.89
341,,,50.0
342,0.0,0.0,25.0
343,32.14,50.0,100.0
356,21.43,20.0,100.0
357,11.11,50.0,33.33
361,36.84,35.29,11.11
364,29.9,42.11,38.46
369,52.63,35.9,28.57
370,50.0,0.0,28.57
371,11.9,0.0,29.73
372,14.19,28.57,0.0
373,14.29,0.0,0.0
376,0.0,0.0,0.0
377,30.63,28.57,42.86
380,8.82,0.0,0.0
381,,,0.0
383,20.69,0.0,20.0
384,50.0,,25.0
390,28.57,,66.67
392,25.3,,43.3
394,0.0,0.0,0.0
396,19.23,24.0,0.0
402,0.0,,0.0
404,20.0,33.33,36.36
411,20.0,0.0,50.0
415,40.0,,33.33
417,0.0,,0.0
419,39.55,33.33,41.18
426,0.0,0.0,0.0
429,10.53,0.0,0.0
430,0.0,0.0,50.0
432,0.0,50.0,0.0
437,0.0,20.0,36.54
459,20.0,24.0,20.51
473,,,100.0
475,9.09,33.33,14.29
476,53.85,28.57,45.6
486,0.0,28.57,0.0
489,31.58,,50.0
492,13.89,0.0,0.0
493,20.34,0.0,42.11
497,0.0,0.0,50.0
501,,,100.0
517,20.41,50.0,0.0
521,30.77,,13.33
525,33.33,0.0,28.57
533,39.39,0.0,0.0
536,30.32,20.0,37.5
537,75.0,0.0,0.0
543,33.33,5.17,50.0
549,28.0,100.0,0.0
550,0.0,,27.27
567,100.0,,0.0
571,30.77,,0.0
572,25.0,25.37,0.0
573,0.0,16.67,60.0
578,28.57,0.0,0.0
582,,100.0,60.0
586,,100.0,42.86
588,50.0,9.09,40.0
592,28.57,33.33,0.0
598,27.27,0.0,40.0
608,13.04,,0.0
609,0.0,,0.0
611,27.27,,14.29
618,40.0,,0.0
619,0.0,0.0,21.43
636,50.0,20.0,33.33
637,8.0,100.0,0.0
648,28.57,0.0,22.73
650,,,33.33
653,0.0,,33.33
655,,,25.0
658,20.0,12.5,0.0
672,19.23,0.0,0.0
680,,0.0,0.0
681,0.0,,0.0
688,0.0,30.0,50.0
691,33.33,0.0,0.0
698,20.0,,30.77
699,0.0,30.56,20.0
700,,30.36,0.0
705,45.71,,0.0
714,0.0,40.0,0.0
716,0.0,,0.0
720,0.0,50.0,100.0
722,25.0,50.0,33.33
726,0.0,,50.0
730,12.5,0.0,0.0
736,6.67,0.0,34.62
737,0.0,31.71,100.0
739,0.0,32.69,25.0
740,22.22,7.69,18.18
745,0.0,,7.69
747,17.86,,100.0
751,100.0,14.29,37.5
752,33.33,100.0,0.0
757,,,66.67
758,0.0,31.37,50.0
767,12.5,,100.0
769,7.14,,27.03
775,32.73,,40.0
781,11.97,20.0,21.05
784,20.0,0.0,32.14
792,,,10.0
794,43.24,50.0,21.43
797,,27.78,66.67
799,0.0,33.33,0.0
802,,,0.0
804,,50.0,14.29
810,13.95,,21.43
811,34.29,30.0,60.99
813,18.18,18.18,47.06
823,0.0,,33.33
832,18.92,50.0,35.71
834,,11.54,33.33
861,,46.15,25.0
869,,38.78,33.33
872,28.57,9.09,33.33
878,33.33,33.33,50.0
886,0.0,,0.0
889,0.0,,100.0
890,100.0,27.27,75.0
893,45.75,42.9,33.59
900,40.3,14.29,57.14
905,21.03,33.33,29.11
909,34.69,,0.0
912,100.0,20.0,50.0
914,0.0,100.0,23.81
932,19.35,0.0,100.0
943,,5.0,66.67
945,25.0,0.0,25.0
946,40.0,,0.0
956,0.0,0.0,32.76
960,26.09,0.0,0.0
966,13.33,,0.0
968,34.38,,0.0
971,43.33,0.0,38.46
972,0.0,12.5,0.0
974,10.0,17.24,34.38
986,24.24,33.33,0.0
987,30.4,20.0,20.0
996,,,50.0
999,0.0,,20.0
1000,0.0,36.36,0.0
1002,,0.0,50.0
1007,,,0.0
1011,,,33.33
1016,16.67,,100.0
1026,,0.0,42.22
1030,50.0,36.84,0.0
1035,50.0,32.21,0.0
1039,18.52,,25.0
1042,33.33,,0.0
1043,33.33,,50.0
1048,0.0,,0.0
1053,32.26,20.83,40.0
1057,,,0.0
1060,17.65,0.0,0.0
1061,0.0,0.0,0.0
1065,9.09,50.0,100.0
1070,30.09,0.0,0.0
1074,,,0.0
1075,25.71,25.0,0.0
1087,0.0,0.0,20.0
1088,11.11,26.92,25.0
1097,18.52,,30.77
1100,0.0,100.0,14.29
1107,50.0,,0.0
1108,0.0,,50.0
1109,0.0,33.33,42.86
1114,0.0,83.33,54.41
1116,24.0,20.0,16.67
1117,16.28,,40.0
1122,4.55,,33.33
1123,0.0,50.0,45.78
1124,0.0,0.0,100.0
1142,0.0,,0.0
1143,15.88,0.0,100.0
1149,,,33.33
1151,38.3,,50.0
1153,0.0,,42.86
1174,,33.33,0.0
1175,33.33,0.0,28.57
1185,15.79,0.0,33.33
1190,25.0,50.0,30.77
1191,,,50.0
1194,17.39,50.0,0.0
1196,26.01,16.67,0.0
1199,56.67,37.5,0.0
1200,33.33,20.0,47.37
1215,0.0,0.0,0.0
1220,12.12,0.0,0.0
1228,31.48,33.33,20.0
1231,7.69,,12.5
1233,20.0,100.0,0.0
1237,31.82,43.75,43.5
1244,20.0,0.0,50.0
1248,,,0.0
1249,7.41,,31.82
1254,26.53,50.0,0.0
1265,0.0,0.0,36.36
1278,35.0,,16.67
1284,12.5,,0.0
1288,20.59,28.73,32.2
1293,0.0,16.67,0.0
1310,0.0,20.51,0.0
1321,42.31,100.0,0.0
1323,,33.33,63.64
1324,18.18,100.0,55.12
1334,17.39,,0.0
1335,0.0,0.0,42.86
1338,50.95,25.0,33.33
1341,20.0,,25.0
1343,2.7,10.0,0.0
1344,23.26,0.0,15.38
1348,30.0,28.89,0.0
1349,12.5,0.0,0.0
1354,33.33,,33.33
1358,10.71,0.0,60.0
1363,20.0,50.0,23.08
1366,,0.0,0.0
1369,28.57,,100.0
1370,0.0,0.0,20.0
1375,33.33,,0.0
1380,20.0,,0.0
1384,0.0,0.0,0.0
1400,17.65,,45.45
1406,0.0,20.27,40.0
1407,36.36,,25.0
1409,0.0,26.92,32.43
1412,0.0,0.0,0.0
1414,44.44,0.0,8.7
1423,30.56,20.0,45.45
1431,20.0,24.69,16.67
1432,5.26,29.95,36.0
1433,10.0,0.0,0.0
1436,0.0,,0.0
1448,,0.0,50.0
1449,,0.0,0.0
1450,0.0,12.0,18.0
1454,0.0,22.73,38.46
1456,0.0,,100.0
1463,16.67,,19.23
1467,,0.0,0.0
1470,100.0,,28.57
1471,12.5,19.48,0.0
1476,,0.0,50.0
1483,20.0,0.0,10.0
1492,0.0,7.69,100.0
1512,25.0,0.0,0.0
1514,22.22,,33.33
1523,42.86,,28.57
1527,20.0,19.02,20.0
1529,21.43,,33.33
1532,,,16.67
1538,0.0,,5.88
1542,,,0.0
1545,0.0,,50.0
1551,19.13,6.25,16.22
1554,36.11,0.0,25.0
1560,0.0,,0.0
1569,28.21,0.0,0.0
1574,17.24,,0.0
1583,40.03,29.46,34.28
1585,40.0,20.0,31.95
1588,14.29,0.0,36.36
1591,29.17,16.67,27.78
1599,0.0,100.0,33.33
1600,28.57,50.0,14.29
1605,100.0,23.3,100.0
1606,0.0,,0.0
1612,0.0,0.0,28.57
1615,0.0,0.0,0.0
1620,0.0,,100.0
1625,10.0,0.0,0.0
1631,,0.0,0.0
1633,0.0,0.0,0.0
1638,25.0,11.11,23.53
1654,0.0,0.0,23.08
1659,35.11,21.43,29.55
1665,,,50.0
1666,,13.95,0.0
1667,33.33,50.0,0.0
1685,14.63,0.0,14.29
1690,6.67,,60.0
1692,0.0,,0.0
1693,0.0,50.0,50.0
1694,66.67,33.33,55.0
1695,24.08,20.59,0.0
1697,,0.0,14.29
1701,0.0,,0.0
1702,23.08,25.37,0.0
1710,23.08,0.0,0.0
1712,0.0,13.04,0.0
1714,,75.0,63.64
1726,0.0,,50.0
1736,25.0,,0.0
1738,25.64,,41.67
1747,9.52,,0.0
1750,,33.33,0.0
1753,6.25,,50.0
1755,46.77,0.0,29.17
1762,31.03,,32.0
1765,,66.67,0.0
1768,18.18,,0.0
1775,0.0,0.0,27.27
1782,41.18,0.0,14.29
1785,0.0,12.5,25.0
1786,37.93,20.0,40.0
1790,30.43,,44.55
1797,,,0.0
1801,21.82,0.0,30.77
1811,,28.57,0.0
1813,50.0,36.84,66.67
1816,16.13,33.33,0.0
1818,33.33,,44.44
1820,25.0,32.0,35.71
1821,83.33,0.0,0.0
1826,26.67,,33.33
1830,0.0,50.0,50.0
1831,51.54,0.0,33.15
1834,25.64,100.0,0.0
1836,42.86,44.96,0.0
1843,33.33,0.0,50.0
1853,16.0,23.53,100.0
1862,13.33,4.0,17.39
1865,25.0,0.0,20.0
1870,,0.0,0.0
1874,20.0,,0.0
1886,27.03,0.0,16.67
1891,0.0,60.0,0.0
1892,33.33,0.0,57.14
1896,,,20.0
1897,0.0,33.33,31.58
1900,,14.29,66.67
1904,24.0,,25.88
1907,42.11,,34.62
1908,23.14,50.0,32.5
1909,16.67,,0.0
1912,0.0,,0.0
1915,0.0,13.33,0.0
1916,100.0,75.0,66.67
1918,0.0,100.0,60.0
1921,11.63,,17.95
1925,25.0,50.0,25.0
1934,100.0,0.0,50.0
1942,30.82,0.0,30.88
1943,33.33,33.33,100.0
1946,42.86,,44.07
1950,27.03,0.0,32.14
1951,0.0,0.0,60.0
1954,28.57,0.0,0.0
1958,0.0,25.0,0.0
1959,,,25.0
1960,31.03,0.0,0.0
1965,20.34,34.62,22.73
1968,38.77,32.41,30.0
1969,0.0,14.0,50.0
1970,78.57,,0.0
1975,25.0,,0.0
1977,0.0,16.67,33.33
1980,40.0,,29.17
1992,,11.11,25.0
1996,,36.36,100.0
2009,31.5,,100.0
2017,6.67,0.0,0.0
2025,0.0,33.33,5.88
2030,0.0,40.0,0.0
2031,,40.0,0.0
2034,12.5,,0.0
2038,,,40.38
2039,,,44.44
2047,0.0,0.0,50.0
2050,,0.0,50.0
2064,0.0,,25.0
2069,42.86,,50.0
2077,,16.67,0.0
2080,,66.67,51.39
2084,27.5,0.0,50.0
2086,13.11,0.0,23.08
2090,32.43,,0.0
2098,40.0,100.0,0.0
2106,40.0,0.0,44.44
2108,0.0,66.67,0.0
2114,46.15,,50.0
2115,,,0.0
2118,,,0.0
2119,18.75,18.18,27.27
2120,,,16.67
2128,0.0,0.0,0.0
2133,25.0,0.0,13.33
2147,6.9,9.09,0.0
2148,50.0,,0.0
2150,26.32,0.0,0.0
2168,,0.0,20.0
2169,,100.0,12.5
2172,0.0,50.0,44.44
2173,16.67,0.0,0.0
2176,66.67,,66.67
2177,,11.11,42.86
2185,,,0.0
2186,100.0,50.0,50.0
2187,30.77,,0.0
2191,8.33,,0.0
2194,24.66,14.29,0.0
2197,0.0,31.86,100.0
2199,31.69,30.0,29.17
2208,23.53,0.0,28.57
2213,0.0,0.0,0.0
2214,33.33,30.0,47.85
2230,30.95,25.0,33.33
2231,33.33,,100.0
2233,20.0,,100.0
2238,0.0,18.52,0.0
2246,66.67,33.33,100.0
2253,29.41,,0.0
2257,27.5,9.09,47.37
2260,20.41,16.0,33.33
2266,78.67,,100.0
2273,43.24,,17.65
2275,0.0,0.0,16.67
2281,80.0,38.46,0.0
2284,40.0,0.0,18.18
2285,0.0,0.0,0.0
2287,20.0,100.0,36.0
2289,33.33,50.0,50.0
2291,23.08,50.0,27.59
2313,16.67,0.0,0.0
2314,27.27,,0.0
2321,50.0,,28.13
2338,13.33,0.0,16.67
2362,30.77,31.41,0.0
2363,42.86,,25.0
2368,20.0,14.29,0.0
2381,100.0,,0.0
2384,10.0,50.0,0.0
2385,41.96,,36.11
2391,,38.46,0.0
2405,33.33,32.61,44.44
2422,5.41,,33.33
2424,31.18,30.77,32.14
2429,22.58,,0.0
2434,0.0,40.0,0.0
2443,7.14,14.81,20.0
2451,,,100.0
2452,0.0,0.0,38.46
2457,0.0,0.0,100.0
2460,,,65.0
2469,17.37,,4.76
2470,18.75,0.0,0.0
2474,25.0,0.0,33.33
2481,,,33.33
2484,0.0,66.67,21.21
2486,31.67,33.33,40.74
2491,0.0,50.0,29.17
2494,0.0,,0.0
2496,28.57,,0.0
2497,0.0,,30.0
2504,0.0,,0.0
2508,25.0,100.0,66.67
2509,0.0,10.53,0.0
2515,0.0,0.0,14.29
2517,,57.14,50.0
2518,,50.0,50.0
2525,42.45,33.33,30.77
2527,,,20.0
2535,26.67,10.0,0.0
2536,9.68,0.0,25.0
2541,0.0,33.33,23.91
2543,5.0,,10.0
2548,43.75,37.5,66.67
2555,0.0,,0.0
2566,0.0,0.0,50.0
2567,0.0,8.7,0.0
2574,0.0,0.0,100.0
2577,14.29,,0.0
2581,50.0,,0.0
2590,,,0.0
2593,50.0,0.0,100.0
2596,34.62,0.0,31.58
2597,25.0,66.67,50.0
2598,38.16,42.2,46.15
2600,0.0,0.0,50.0
2603,33.33,28.89,23.08
2611,33.33,20.0,10.0
2627,33.33,0.0,100.0
2628,,15.38,0.0
2635,46.67,100.0,100.0
2644,50.0,7.14,0.0
2648,0.0,24.41,35.48
2652,,,0.0
2653,,,47.62
2656,0.0,,100.0
2660,55.13,0.0,0.0
2670,,41.86,57.14
2671,,0.0,50.0
2676,37.93,50.0,0.0
2679,0.0,25.0,100.0
2680,40.82,0.0,0.0
2683,0.0,,0.0
2687,,,0.0
2688,38.6,0.0,38.36
2696,37.5,,50.0
2697,0.0,16.67,0.0
2700,20.75,37.5,0.0
2701,18.18,,46.15
2721,0.0,,50.0
2732,33.33,,0.0
2733,,,50.0
2749,50.0,,47.87
2755,,,0.0
2757,11.11,100.0,0.0
2766,0.0,60.0,29.73
2774,,,50.0
2783,33.33,27.78,50.0
2785,9.09,,27.78
2788,29.55,44.67,42.74
2797,0.0,0.0,9.09
2799,0.0,,100.0
2811,66.67,12.0,0.0
2812,22.22,25.0,100.0
2819,0.0,17.46,0.0
2820,10.0,0.0,0.0
2823,,27.03,0.0
2828,,25.0,20.93
2831,0.0,0.0,0.0
2836,0.0,50.0,0.0
2841,33.33,,0.0
2847,31.5,30.77,39.52
2849,25.64,100.0,0.0
2859,0.0,0.0,6.67
2882,0.0,0.0,0.0
2890,,4.0,0.0
2894,15.38,,0.0
2902,8.57,,0.0
2908,0.0,0.0,23.08
2915,36.67,12.5,23.53
2928,42.0,0.0,0.0
2938,0.0,42.86,72.22
2942,58.82,20.0,0.0
2948,50.0,33.33,25.0
2951,0.0,33.33,28.57
2954,41.18,0.0,0.0
2955,,25.56,23.08
2958,10.0,0.0,0.0
2961,66.67,25.58,33.33
2962,0.0,,100.0
2967,,,0.0
2971,66.67,0.0,0.0
2972,37.21,0.0,41.18
2974,16.67,0.0,50.0
2975,19.44,,40.0
2976,0.0,0.0,0.0
2979,0.0,29.73,0.0
2982,31.01,20.0,0.0
2985,,12.0,0.0
2988,20.0,32.82,36.36
2990,100.0,,27.27
2993,33.33,,0.0
2995,17.65,0.0,0.0
2998,50.0,0.0,0.0
2999,,,0.0
3009,0.0,27.4,33.33
3023,100.0,,100.0
3029,0.0,20.63,100.0
3032,50.0,50.0,66.67
3041,0.0,0.0,20.0
3043,26.73,9.76,19.9
3044,0.0,0.0,42.86
3045,,,50.0
3050,0.0,19.8,14.81
3052,,75.0,100.0
3055,15.97,0.0,19.05
3056,27.27,100.0,0.0
3078,0.0,0.0,33.33
3085,50.0,0.0,50.0
3086,0.0,,20.0
3095,0.0,30.67,0.0
3098,,14.29,100.0
3105,0.0,32.0,50.0
3109,33.33,0.0,33.33
3111,50.0,0.0,100.0
3122,0.0,0.0,25.0
3140,36.84,50.0,75.0
3146,18.92,8.33,33.33
3150,,13.33,0.0
3153,31.73,0.0,40.0
3171,28.57,46.24,8.33
3189,0.0,0.0,0.0
3191,27.27,20.0,52.61
3193,12.5,,0.0
3201,19.05,16.67,29.41
3204,39.54,33.33,30.43
3205,28.57,75.0,50.0
3207,,,66.67
3211,100.0,75.0,50.0
3215,0.0,0.0,33.33
3218,0.0,22.22,0.0
3225,10.71,0.0,0.0
3226,8.33,0.0,12.5
3238,,,0.0
3241,33.33,50.0,0.0
3244,38.64,0.0,100.0
3263,16.13,,0.0
3267,50.0,25.0,0.0
3268,36.36,,0.0
3279,20.0,66.67,0.0
3280,0.0,33.33,50.0
3282,20.0,0.0,100.0
3283,,0.0,0.0
3284,,,16.67
3287,0.0,,36.25
3291,13.33,0.0,0.0
3295,20.0,30.26,0.0
3305,0.0,10.0,0.0
3312,28.13,0.0,0.0
3314,80.0,,25.0
3315,,,20.0
3320,25.0,18.18,0.0
3333,22.22,23.08,15.38
3340,0.0,39.77,0.0
3347,8.93,0.0,7.69
3354,6.67,,34.78
3355,0.0,11.76,28.57
3362,10.0,0.0,0.0
3378,0.0,,0.0
3381,45.71,0.0,21.43
3389,23.08,0.0,0.0
3390,50.0,0.0,0.0
3399,,100.0,0.0
3404,,0.0,42.86
3407,,,33.33
3408,0.0,0.0,28.57
3415,0.0,41.67,11.11
3420,0.0,100.0,42.86
3421,0.0,100.0,12.5
3432,,56.41,50.0
3435,,,0.0
3442,20.0,,0.0
3445,,33.33,0.0
3448,,50.0,70.0
3458,11.11,22.82,100.0
3461,0.0,,31.25
3467,,,0.0
3474,35.59,42.48,14.29
3484,,0.0,60.0
3485,,0.0,29.63
3488,22.22,40.0,9.09
3493,,,100.0
3497,,20.0,40.0
3501,40.54,60.0,0.0
3508,100.0,50.0,100.0
3509,29.93,0.0,100.0
3525,14.29,16.36,0.0
3527,43.75,57.14,26.92
3534,24.0,0.0,50.0
3535,0.0,26.98,100.0
3542,11.76,25.0,18.18
3543,100.0,,20.0
3546,30.5,100.0,0.0
3560,61.54,31.58,51.22
3561,50.0,0.0,0.0
3565,,12.5,0.0
3571,33.33,33.33,16.67
3572,,,53.33
3583,0.0,,0.0
3584,45.52,0.0,66.67
3587,0.0,23.38,50.0
3594,,,42.86
3603,38.66,33.33,54.55
3609,0.0,25.0,0.0
3614,36.36,,100.0
3617,,,33.33
3631,27.16,10.0,0.0
3636,,33.33,0.0
3641,50.0,,0.0
3656,42.86,,100.0
3659,50.0,11.11,47.28
3661,34.09,,7.69
3665,,,0.0
3673,,36.36,0.0
3683,10.0,,0.0
3694,50.0,,100.0
3695,30.0,0.0,14.81
3702,,,28.57
3712,44.78,33.33,0.0
3713,34.21,20.45,36.67
3715,0.0,0.0,33.33
3719,25.0,,0.0
3736,0.0,,0.0
3737,,25.0,72.73
3742,44.25,,40.85
3757,,,0.0
3765,,,40.0
3767,33.33,32.76,36.36
3778,,0.0,0.0
3779,,,11.11
3784,,,0.0
3788,0.0,15.38,33.33
3797,19.61,0.0,15.0
3798,18.42,0.0,33.33
3800,28.57,0.0,29.17
3819,22.22,,0.0
3821,12.5,,0.0
3827,23.68,22.73,20.0
3830,,,0.0
3831,33.33,0.0,50.0
3834,24.22,0.0,0.0
3839,50.0,35.71,100.0
3848,16.22,0.0,26.92
3857,35.26,100.0,0.0
3880,33.33,,100.0
3886,6.25,12.5,0.0
3892,18.75,0.0,50.0
3894,,12.5,0.0
3909,0.0,,50.0
3915,,0.0,50.0
3916,33.33,47.67,18.75
3920,0.0,,100.0
3927,22.22,0.0,41.67
3937,26.83,32.5,31.37
3947,,16.67,23.08
3950,62.5,0.0,50.0
3957,30.23,50.0,20.0
3963,25.0,0.0,0.0
3966,33.33,19.05,100.0
3973,33.33,31.11,0.0
3978,3.7,10.71,40.0
3980,,27.27,54.17
3981,24.32,0.0,0.0
4003,100.0,0.0,0.0
4007,33.33,0.0,28.57
4012,25.0,0.0,17.14
4023,25.0,34.38,50.0
4038,0.0,0.0,0.0
4040,50.0,,20.0
4050,17.5,0.0,0.0
4052,100.0,27.42,0.0
4055,8.0,0.0,33.33
4066,25.0,14.29,25.0
4068,28.86,8.33,50.0
4086,25.45,11.11,25.0
4092,33.91,18.18,7.69
4100,0.0,5.26,33.33
4105,,,0.0
4111,0.0,50.0,66.67
4115,23.08,,0.0
4116,30.77,,100.0
4120,50.0,25.0,100.0
4126,0.0,,50.0
4134,0.0,,0.0
4137,,,0.0
4140,0.0,,14.29
4144,33.33,,11.11
4160,28.57,,0.0
4172,0.0,0.0,0.0
4174,33.33,,44.0
4192,12.5,0.0,10.0
4194,0.0,37.84,100.0
4196,,,0.0
4200,37.25,33.33,0.0
4203,17.39,21.43,16.36
4213,16.67,25.93,0.0
4219,0.0,,0.0
4221,50.0,,0.0
4223,0.0,28.95,33.33
4227,31.98,0.0,0.0
4230,16.67,,0.0
4231,25.0,,0.0
4234,0.0,25.0,25.0
4239,25.0,,6.25
4241,,,0.0
4243,50.0,50.0,0.0
4249,29.41,32.15,16.9
4257,100.0,16.67,21.31
4264,66.67,,0.0
4276,0.0,6.06,16.67
4279,16.67,48.28,47.06
4287,0.0,28.57,25.0
4299,62.5,,33.33
4321,0.0,25.0,25.53
4322,25.0,,33.33
4323,46.15,40.0,33.33
4333,59.09,,68.21
4337,29.11,20.0,9.09
4353,,,37.5
4358,0.0,0.0,50.0
4362,,25.4,0.0
4376,0.0,0.0,16.22
4396,7.69,14.29,16.67
4407,20.0,,0.0
4410,100.0,,0.0
4411,50.0,27.91,0.0
4418,9.09,20.0,0.0
4421,,0.0,0.0
4425,30.77,,0.0
4433,,18.52,38.46
4435,34.72,23.53,32.65
4454,9.09,0.0,0.0
4465,0.0,27.27,30.69
4481,33.33,100.0,64.71
4489,0.0,20.0,14.29
4491,0.0,,0.0
4494,50.0,0.0,26.67
4504,12.96,0.0,0.0
4505,,0.0,40.0
4510,,57.14,100.0
4525,28.0,100.0,29.63
4534,,,22.22
4541,50.0,,0.0
4552,,19.23,0.0
4558,,0.0,0.0
4570,46.15,,0.0
4572,36.92,,22.22
4574,26.97,22.22,25.0
4588,0.0,,21.43
4590,31.48,0.0,7.14
4591,34.48,100.0,33.33
4593,12.28,0.0,0.0
4596,,75.0,0.0
4600,0.0,43.33,0.0
4636,0.0,,25.0
4640,37.5,,0.0
4642,37.5,20.0,66.67
4653,0.0,0.0,50.0
4657,,0.0,0.0
4665,40.51,,43.45
4668,100.0,60.0,30.61
4682,0.0,0.0,0.0
4685,20.61,0.0,33.33
4687,33.8,0.0,0.0
4690,20.0,36.36,0.0
4712,0.0,,0.0
4714,47.62,33.33,54.55
4723,0.0,0.0,16.67
4725,9.09,25.58,30.0
4728,50.0,36.51,0.0
4734,0.0,,33.33
4737,0.0,29.17,100.0
4766,,,0.0
4771,,33.33,18.18
4777,0.0,12.5,0.0
4782,21.57,20.0,21.43
4787,0.0,14.29,0.0
4794,20.0,28.57,12.5
4798,0.0,0.0,0.0
4830,43.48,0.0,54.17
4833,41.03,28.57,37.04
4834,0.0,10.0,0.0
4838,,0.0,100.0
4843,41.67,0.0,0.0
4850,30.0,27.27,60.0
4853,75.0,,48.78
4872,10.0,0.0,16.67
4879,0.0,,45.91
4893,0.0,28.51,10.34
4900,,23.53,0.0
4906,0.0,,0.0
4913,0.0,8.33,0.0
4915,,,50.0
4918,17.65,15.79,0.0
4926,18.75,29.09,25.0
4927,,,33.33
4931,,46.15,0.0
4937,,,0.0
4939,,,0.0
4949,,0.0,100.0
4950,35.56,28.57,30.0
4958,33.33,0.0,100.0
4965,23.08,0.0,40.0
4979,12.0,0.0,0.0
4993,,,66.67
4997,33.33,0.0,0.0
4998,,,100.0
4999,,0.0,83.33
5007,17.65,0.0,0.0
5010,,,0.0
5017,26.47,,57.14
5021,0.0,0.0,0.0
5023,27.39,25.0,22.22
5026,0.0,,0.0
5030,,,57.14
5035,,25.0,100.0
5049,33.33,33.33,0.0
5050,0.0,,0.0
5055,50.0,,40.0
5056,25.0,25.0,41.43
5058,0.0,0.0,19.51
5074,,6.67,0.0
5083,0.0,,11.11
5086,18.18,0.0,100.0
5106,17.65,,100.0
5109,100.0,0.0,0.0
5110,25.0,,50.0
5114,50.0,,11.11
5139,,,0.0
5142,100.0,,100.0
5144,,50.0,42.86
5147,32.26,,0.0
5168,,0.0,47.62
5169,0.0,0.0,18.18
5171,33.33,26.99,0.0
5182,33.33,100.0,0.0
5188,27.27,,66.67
5190,32.65,32.53,27.27
5210,28.57,36.36,0.0
5246,33.33,100.0,46.94
5255,38.46,100.0,0.0
5261,0.0,,16.67
5287,12.5,0.0,11.11
5295,,40.0,50.0
5298,0.0,0.0,18.18
5304,0.0,25.0,31.58
5309,,50.0,0.0
5321,18.75,0.0,28.17
5324,0.0,50.0,0.0
5343,0.0,50.0,27.78
5346,9.09,19.44,100.0
5353,0.0,12.5,0.0
5360,53.33,,50.0
5369,20.0,0.0,0.0
5381,16.67,0.0,0.0
5382,,15.38,0.0
5409,23.46,28.57,0.0
5416,22.63,14.29,21.88
5418,25.0,0.0,50.0
5441,0.0,,14.63
5445,39.69,50.0,58.02
